customer_id,customer_name,reg_date
1,Customer_1,2022-08-17
2,Customer_2,2022-02-21
3,Customer_3,2023-07-18
4,Customer_4,2023-05-17
5,Customer_5,2023-04-03
6,Customer_6,2022-10-13
7,Customer_7,2022-07-29
8,Customer_8,2025-01-21
9,Customer_9,2022-06-28
10,Customer_10,2025-04-24
11,Customer_11,2024-05-14
12,Customer_12,2022-03-07
13,Customer_13,2022-03-03
14,Customer_14,2022-07-11
15,Customer_15,2023-03-24
16,Customer_16,2023-04-22
17,Customer_17,2024-10-31
18,Customer_18,2025-05-17
19,Customer_19,2022-02-24
20,Customer_20,2025-02-23
21,Customer_21,2023-02-12
22,Customer_22,2025-01-21
23,Customer_23,2024-05-09
24,Customer_24,2023-03-28
25,Customer_25,2024-07-08
26,Customer_26,2025-04-21
27,Customer_27,2023-07-24
28,Customer_28,2022-01-14
29,Customer_29,2022-11-23
30,Customer_30,2024-05-15
31,Customer_31,2023-11-28
32,Customer_32,2023-07-24
33,Customer_33,2022-11-15
34,Customer_34,2023-03-17
35,Customer_35,2023-11-21
36,Customer_36,2022-07-29
37,Customer_37,2022-07-09
38,Customer_38,2024-02-18
39,Customer_39,2022-07-18
40,Customer_40,2024-01-06
41,Customer_41,2023-12-06
42,Customer_42,2025-05-21
43,Customer_43,2023-06-26
44,Customer_44,2022-03-30
45,Customer_45,2024-07-29
46,Customer_46,2025-01-03
47,Customer_47,2022-09-13
48,Customer_48,2024-02-15
49,Customer_49,2022-06-11
50,Customer_50,2025-02-04
51,Customer_51,2023-08-24
52,Customer_52,2025-06-20
53,Customer_53,2024-01-11
54,Customer_54,2025-03-28
55,Customer_55,2023-01-29
56,Customer_56,2022-05-23
57,Customer_57,2022-04-04
58,Customer_58,2023-04-12
59,Customer_59,2023-08-16
60,Customer_60,2022-06-13
61,Customer_61,2023-04-22
62,Customer_62,2022-07-26
63,Customer_63,2024-02-18
64,Customer_64,2023-07-24
65,Customer_65,2024-07-17
66,Customer_66,2024-01-18
67,Customer_67,2022-11-30
68,Customer_68,2024-01-29
69,Customer_69,2023-12-29
70,Customer_70,2023-03-06
71,Customer_71,2023-07-01
72,Customer_72,2022-05-27
73,Customer_73,2025-06-01
74,Customer_74,2022-12-17
75,Customer_75,2024-12-29
76,Customer_76,2023-05-17
77,Customer_77,2022-12-01
78,Customer_78,2024-08-04
79,Customer_79,2024-02-17
80,Customer_80,2023-07-07
81,Customer_81,2025-02-14
82,Customer_82,2023-03-26
83,Customer_83,2023-10-27
84,Customer_84,2022-04-25
85,Customer_85,2023-04-15
86,Customer_86,2022-03-07
87,Customer_87,2023-10-09
88,Customer_88,2024-04-01
89,Customer_89,2023-07-03
90,Customer_90,2022-05-16
91,Customer_91,2023-03-09
92,Customer_92,2025-03-07
93,Customer_93,2023-10-07
94,Customer_94,2023-03-12
95,Customer_95,2024-10-19
96,Customer_96,2024-03-21
97,Customer_97,2024-07-28
98,Customer_98,2022-10-20
99,Customer_99,2023-06-27
100,Customer_100,2022-10-13
101,Customer_101,2023-05-21
102,Customer_102,2025-02-23
103,Customer_103,2025-01-08
104,Customer_104,2023-06-23
105,Customer_105,2025-04-12
106,Customer_106,2024-05-27
107,Customer_107,2025-04-10
108,Customer_108,2024-03-28
109,Customer_109,2024-01-12
110,Customer_110,2023-03-26
111,Customer_111,2022-10-11
112,Customer_112,2024-11-09
113,Customer_113,2024-10-07
114,Customer_114,2022-07-06
115,Customer_115,2022-04-07
116,Customer_116,2022-08-13
117,Customer_117,2022-11-10
118,Customer_118,2022-11-24
119,Customer_119,2024-05-14
120,Customer_120,2025-05-06
121,Customer_121,2022-05-11
122,Customer_122,2024-02-28
123,Customer_123,2024-02-21
124,Customer_124,2025-05-05
125,Customer_125,2024-08-16
126,Customer_126,2024-12-19
127,Customer_127,2023-05-30
128,Customer_128,2025-02-07
129,Customer_129,2022-01-24
130,Customer_130,2022-08-23
131,Customer_131,2025-01-04
132,Customer_132,2023-07-01
133,Customer_133,2023-11-28
134,Customer_134,2022-08-17
135,Customer_135,2023-08-25
136,Customer_136,2024-06-09
137,Customer_137,2022-11-20
138,Customer_138,2024-07-18
139,Customer_139,2022-01-07
140,Customer_140,2023-06-24
141,Customer_141,2024-10-22
142,Customer_142,2023-01-01
143,Customer_143,2024-11-05
144,Customer_144,2022-08-06
145,Customer_145,2023-09-04
146,Customer_146,2024-11-05
147,Customer_147,2025-06-01
148,Customer_148,2023-02-12
149,Customer_149,2022-11-10
150,Customer_150,2024-02-05
151,Customer_151,2022-11-27
152,Customer_152,2025-01-09
153,Customer_153,2024-12-22
154,Customer_154,2022-01-02
155,Customer_155,2025-05-11
156,Customer_156,2023-10-26
157,Customer_157,2024-09-27
158,Customer_158,2022-02-09
159,Customer_159,2022-08-18
160,Customer_160,2024-01-14
161,Customer_161,2023-09-22
162,Customer_162,2023-05-06
163,Customer_163,2022-04-29
164,Customer_164,2023-05-09
165,Customer_165,2025-03-07
166,Customer_166,2022-06-11
167,Customer_167,2022-06-25
168,Customer_168,2024-09-22
169,Customer_169,2022-05-22
170,Customer_170,2024-12-26
171,Customer_171,2022-09-15
172,Customer_172,2022-09-20
173,Customer_173,2024-08-31
174,Customer_174,2025-01-30
175,Customer_175,2022-12-05
176,Customer_176,2023-06-27
177,Customer_177,2024-12-16
178,Customer_178,2025-05-27
179,Customer_179,2024-05-16
180,Customer_180,2023-03-10
181,Customer_181,2025-01-09
182,Customer_182,2023-02-16
183,Customer_183,2023-10-01
184,Customer_184,2024-03-28
185,Customer_185,2024-02-04
186,Customer_186,2024-06-16
187,Customer_187,2024-11-25
188,Customer_188,2024-07-13
189,Customer_189,2022-09-05
190,Customer_190,2023-05-23
191,Customer_191,2023-04-06
192,Customer_192,2022-05-12
193,Customer_193,2023-11-24
194,Customer_194,2022-02-13
195,Customer_195,2025-04-19
196,Customer_196,2025-02-08
197,Customer_197,2023-04-17
198,Customer_198,2025-04-20
199,Customer_199,2023-03-28
200,Customer_200,2022-01-15
201,Customer_201,2022-05-26
202,Customer_202,2022-05-01
203,Customer_203,2023-04-14
204,Customer_204,2022-05-19
205,Customer_205,2022-03-06
206,Customer_206,2023-11-08
207,Customer_207,2022-05-26
208,Customer_208,2024-11-18
209,Customer_209,2023-05-03
210,Customer_210,2023-07-25
211,Customer_211,2024-09-21
212,Customer_212,2023-03-15
213,Customer_213,2025-01-09
214,Customer_214,2022-09-28
215,Customer_215,2025-03-15
216,Customer_216,2025-03-26
217,Customer_217,2024-08-26
218,Customer_218,2023-05-13
219,Customer_219,2024-08-26
220,Customer_220,2024-04-13
221,Customer_221,2023-01-25
222,Customer_222,2022-07-13
223,Customer_223,2022-07-18
224,Customer_224,2024-06-01
225,Customer_225,2023-12-27
226,Customer_226,2024-05-17
227,Customer_227,2024-04-21
228,Customer_228,2024-08-14
229,Customer_229,2022-04-21
230,Customer_230,2022-07-21
231,Customer_231,2022-05-05
232,Customer_232,2024-04-04
233,Customer_233,2023-11-26
234,Customer_234,2022-08-12
235,Customer_235,2023-05-25
236,Customer_236,2023-01-28
237,Customer_237,2023-01-25
238,Customer_238,2025-01-03
239,Customer_239,2024-07-07
240,Customer_240,2022-10-15
241,Customer_241,2024-05-14
242,Customer_242,2023-01-11
243,Customer_243,2023-07-25
244,Customer_244,2024-08-05
245,Customer_245,2023-05-27
246,Customer_246,2022-06-04
247,Customer_247,2024-06-26
248,Customer_248,2025-02-01
249,Customer_249,2022-07-20
250,Customer_250,2022-04-14
251,Customer_251,2025-01-12
252,Customer_252,2022-01-31
253,Customer_253,2022-07-11
254,Customer_254,2023-04-30
255,Customer_255,2022-12-07
256,Customer_256,2024-04-12
257,Customer_257,2024-09-21
258,Customer_258,2024-09-12
259,Customer_259,2023-03-14
260,Customer_260,2024-04-01
261,Customer_261,2022-05-01
262,Customer_262,2022-12-04
263,Customer_263,2024-02-16
264,Customer_264,2022-01-05
265,Customer_265,2024-03-10
266,Customer_266,2023-06-28
267,Customer_267,2024-07-20
268,Customer_268,2023-08-08
269,Customer_269,2024-05-16
270,Customer_270,2025-02-12
271,Customer_271,2024-09-23
272,Customer_272,2022-11-14
273,Customer_273,2023-01-24
274,Customer_274,2023-08-31
275,Customer_275,2023-03-22
276,Customer_276,2022-04-30
277,Customer_277,2025-04-01
278,Customer_278,2025-01-15
279,Customer_279,2022-05-05
280,Customer_280,2023-10-05
281,Customer_281,2022-04-28
282,Customer_282,2022-04-13
283,Customer_283,2025-04-11
284,Customer_284,2024-09-03
285,Customer_285,2024-10-26
286,Customer_286,2024-12-23
287,Customer_287,2022-11-19
288,Customer_288,2022-04-27
289,Customer_289,2024-11-06
290,Customer_290,2022-06-14
291,Customer_291,2023-01-16
292,Customer_292,2022-05-21
293,Customer_293,2025-05-03
294,Customer_294,2022-05-20
295,Customer_295,2023-04-27
296,Customer_296,2024-04-06
297,Customer_297,2022-09-03
298,Customer_298,2025-03-12
299,Customer_299,2023-05-20
300,Customer_300,2025-03-31
301,Customer_301,2025-05-02
302,Customer_302,2022-03-23
303,Customer_303,2025-06-22
304,Customer_304,2022-06-17
305,Customer_305,2024-05-08
306,Customer_306,2025-04-10
307,Customer_307,2025-03-03
308,Customer_308,2024-12-06
309,Customer_309,2023-10-10
310,Customer_310,2023-06-19
311,Customer_311,2023-02-23
312,Customer_312,2023-10-06
313,Customer_313,2023-05-04
314,Customer_314,2023-06-28
315,Customer_315,2024-03-21
316,Customer_316,2022-09-26
317,Customer_317,2023-09-07
318,Customer_318,2024-07-25
319,Customer_319,2023-10-10
320,Customer_320,2022-05-29
321,Customer_321,2022-01-20
322,Customer_322,2024-07-27
323,Customer_323,2025-06-26
324,Customer_324,2025-02-27
325,Customer_325,2022-07-24
326,Customer_326,2022-05-31
327,Customer_327,2025-01-06
328,Customer_328,2023-03-13
329,Customer_329,2024-11-02
330,Customer_330,2023-06-28
331,Customer_331,2022-09-29
332,Customer_332,2023-12-16
333,Customer_333,2022-05-21
334,Customer_334,2023-05-16
335,Customer_335,2024-01-27
336,Customer_336,2023-08-07
337,Customer_337,2022-11-20
338,Customer_338,2024-06-16
339,Customer_339,2025-01-17
340,Customer_340,2023-09-12
341,Customer_341,2025-06-06
342,Customer_342,2024-12-19
343,Customer_343,2022-01-17
344,Customer_344,2025-02-09
345,Customer_345,2023-09-06
346,Customer_346,2022-08-01
347,Customer_347,2022-10-03
348,Customer_348,2023-06-26
349,Customer_349,2022-08-25
350,Customer_350,2022-08-08
351,Customer_351,2025-02-07
352,Customer_352,2022-11-15
353,Customer_353,2023-07-12
354,Customer_354,2023-08-01
355,Customer_355,2025-05-23
356,Customer_356,2023-03-08
357,Customer_357,2023-12-04
358,Customer_358,2023-02-21
359,Customer_359,2023-06-25
360,Customer_360,2024-11-01
361,Customer_361,2024-09-27
362,Customer_362,2023-05-30
363,Customer_363,2022-04-15
364,Customer_364,2022-07-09
365,Customer_365,2024-05-17
366,Customer_366,2023-07-21
367,Customer_367,2022-04-01
368,Customer_368,2022-01-08
369,Customer_369,2023-11-15
370,Customer_370,2022-09-25
371,Customer_371,2023-06-21
372,Customer_372,2022-11-27
373,Customer_373,2024-06-23
374,Customer_374,2025-02-03
375,Customer_375,2024-05-25
376,Customer_376,2025-02-22
377,Customer_377,2022-01-20
378,Customer_378,2022-08-18
379,Customer_379,2022-06-04
380,Customer_380,2022-11-02
381,Customer_381,2025-01-22
382,Customer_382,2022-03-15
383,Customer_383,2024-01-27
384,Customer_384,2025-04-07
385,Customer_385,2025-02-05
386,Customer_386,2022-10-31
387,Customer_387,2024-05-30
388,Customer_388,2022-09-19
389,Customer_389,2022-03-27
390,Customer_390,2023-09-24
391,Customer_391,2024-01-17
392,Customer_392,2022-03-23
393,Customer_393,2024-01-03
394,Customer_394,2023-03-07
395,Customer_395,2023-05-27
396,Customer_396,2022-07-30
397,Customer_397,2023-12-26
398,Customer_398,2025-02-20
399,Customer_399,2024-04-12
400,Customer_400,2025-06-25
401,Customer_401,2022-11-13
402,Customer_402,2023-04-30
403,Customer_403,2022-11-29
404,Customer_404,2022-12-29
405,Customer_405,2024-04-24
406,Customer_406,2022-02-20
407,Customer_407,2023-01-03
408,Customer_408,2023-11-12
409,Customer_409,2024-04-23
410,Customer_410,2023-05-24
411,Customer_411,2023-07-01
412,Customer_412,2022-11-23
413,Customer_413,2022-08-10
414,Customer_414,2024-02-23
415,Customer_415,2022-03-21
416,Customer_416,2024-08-21
